2023-05-22 21:06:31,751 INFO | Server [0] was established !
2023-05-22 21:06:31,752 INFO | Server [0] is listening !
2023-05-22 21:06:31,752 INFO | Server [1] was established !
2023-05-22 21:06:31,752 INFO | Server [1] is listening !
2023-05-22 21:06:31,753 INFO | Server [2] was established !
2023-05-22 21:06:31,753 INFO | Server [2] is listening !
2023-05-22 21:06:31,753 INFO | Server [3] was established !
2023-05-22 21:06:31,753 INFO | Server [3] is listening !
2023-05-22 21:06:31,753 INFO | Server [4] was established !
2023-05-22 21:06:31,753 INFO | Server [4] is listening !
2023-05-22 21:06:31,754 INFO | Server [5] was established !
2023-05-22 21:06:31,754 INFO | Server [5] is listening !
2023-05-22 21:06:31,754 INFO | Server [6] was established !
2023-05-22 21:06:31,754 INFO | Server [7] was established !
2023-05-22 21:06:31,755 INFO | Server [6] is listening !
2023-05-22 21:06:31,755 INFO | Server [7] is listening !
2023-05-22 21:06:31,755 INFO | Server [8] was established !
2023-05-22 21:06:31,755 INFO | Server [8] is listening !
2023-05-22 21:06:31,756 INFO | Server [9] was established !
2023-05-22 21:06:31,756 INFO | Server [9] is listening !
2023-05-22 21:06:31,756 INFO | Server [10] was established !
2023-05-22 21:06:31,756 INFO | Server [10] is listening !
2023-05-22 21:06:31,757 INFO | Server [11] was established !
2023-05-22 21:06:31,757 INFO | Server [11] is listening !
2023-05-22 21:06:31,757 INFO | Server [12] was established !
2023-05-22 21:06:31,757 INFO | Server [12] is listening !
2023-05-22 21:06:31,757 INFO | Server [13] was established !
2023-05-22 21:06:31,757 INFO | Server [13] is listening !
2023-05-22 21:06:31,757 INFO | Server [14] was established !
2023-05-22 21:06:31,757 INFO | Server [14] is listening !
2023-05-22 21:06:31,759 INFO | Server [15] was established !
2023-05-22 21:06:31,759 INFO | Client [0] was established !
2023-05-22 21:06:31,759 INFO | Server [15] is listening !
2023-05-22 21:06:31,760 INFO | Client [0] is listening!
2023-05-22 21:06:31,811 INFO 1 <---- 0 with PRE_PREPARE [0, 0]
2023-05-22 21:06:31,812 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:06:32,031 INFO 2 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:06:32,092 INFO 2 <---- 0 with PRE_PREPARE [0, 0]
2023-05-22 21:06:32,094 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:06:32,217 INFO 3 <---- 0 with PRE_PREPARE [0, 0]
2023-05-22 21:06:32,219 INFO 0 <---- 3 with PREPARE - [0, 0]
2023-05-22 21:06:32,249 INFO 3 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:06:32,494 INFO 1 <---- 3 with PREPARE - [0, 0]
2023-05-22 21:06:32,494 INFO 4 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:06:32,495 INFO 1 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:06:32,712 INFO 4 <---- 0 with PRE_PREPARE [0, 0]
2023-05-22 21:06:32,715 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:06:32,775 INFO 3 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:06:32,781 INFO 1 <---- 0 with PRE_PREPARE [0, 1]
2023-05-22 21:06:32,783 INFO 0 <---- 1 with PREPARE - [0, 1]
2023-05-22 21:06:32,837 INFO 5 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:06:32,889 INFO 5 <---- 0 with PRE_PREPARE [0, 0]
2023-05-22 21:06:32,891 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:06:32,944 INFO 2 <---- 3 with PREPARE - [0, 0]
2023-05-22 21:06:32,944 INFO 2 <---- 1 with PREPARE - [0, 1]
2023-05-22 21:06:33,037 INFO 6 <---- 0 with PRE_PREPARE [0, 0]
2023-05-22 21:06:33,038 INFO 6 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:06:33,039 INFO 0 <---- 6 with PREPARE - [0, 0]
2023-05-22 21:06:33,099 INFO 4 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:06:33,162 INFO 1 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:06:33,194 INFO 2 <---- 0 with PRE_PREPARE [0, 1]
2023-05-22 21:06:33,196 INFO 0 <---- 1 with PREPARE - [0, 1]
2023-05-22 21:06:33,207 INFO 4 <---- 3 with PREPARE - [0, 0]
2023-05-22 21:06:33,208 INFO 1 <---- 6 with PREPARE - [0, 0]
2023-05-22 21:06:33,316 INFO 3 <---- 1 with PREPARE - [0, 1]
2023-05-22 21:06:33,347 INFO 1 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:06:33,410 INFO 7 <---- 0 with PRE_PREPARE [0, 0]
2023-05-22 21:06:33,412 INFO 0 <---- 7 with PREPARE - [0, 0]
2023-05-22 21:06:33,457 INFO 7 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:06:33,459 INFO 5 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:06:33,473 INFO 5 <---- 3 with PREPARE - [0, 0]
2023-05-22 21:06:33,474 INFO 2 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:06:33,490 INFO 2 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:06:33,536 INFO 2 <---- 6 with PREPARE - [0, 0]
2023-05-22 21:06:33,566 INFO 8 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:06:33,568 INFO 1 <---- 1 with PREPARE - [0, 1]
2023-05-22 21:06:33,614 INFO 3 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:06:33,628 INFO 3 <---- 0 with PRE_PREPARE [0, 1]
2023-05-22 21:06:33,632 INFO 0 <---- 1 with PREPARE - [0, 1]
2023-05-22 21:06:33,676 INFO 4 <---- 1 with PREPARE - [0, 1]
2023-05-22 21:06:33,707 INFO 8 <---- 0 with PRE_PREPARE [0, 0]
2023-05-22 21:06:33,710 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:06:33,739 INFO 3 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:06:33,739 INFO 3 <---- 6 with PREPARE - [0, 0]
2023-05-22 21:06:33,788 INFO 1 <---- 0 with PRE_PREPARE [0, 2]
2023-05-22 21:06:33,790 INFO 0 <---- 1 with PREPARE - [0, 2]
2023-05-22 21:06:33,816 INFO 6 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:06:33,862 INFO 4 <---- 0 with PRE_PREPARE [0, 1]
2023-05-22 21:06:33,866 INFO 0 <---- 1 with PREPARE - [0, 1]
2023-05-22 21:06:33,878 INFO 3 <---- 1 with PREPARE - [0, 1]
2023-05-22 21:06:33,879 INFO 1 <---- 7 with PREPARE - [0, 0]
2023-05-22 21:06:33,893 INFO 9 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:06:33,895 INFO 9 <---- 0 with PRE_PREPARE [0, 0]
