2023-05-22 21:15:36,686 INFO | Server [0] was established !
2023-05-22 21:15:36,687 INFO | Server [0] is listening !
2023-05-22 21:15:36,687 INFO | Server [1] was established !
2023-05-22 21:15:36,687 INFO | Server [1] is listening !
2023-05-22 21:15:36,688 INFO | Server [2] was established !
2023-05-22 21:15:36,688 INFO | Server [2] is listening !
2023-05-22 21:15:36,688 INFO | Server [3] was established !
2023-05-22 21:15:36,688 INFO | Server [3] is listening !
2023-05-22 21:15:36,689 INFO | Server [4] was established !
2023-05-22 21:15:36,689 INFO | Server [4] is listening !
2023-05-22 21:15:36,690 INFO | Server [5] was established !
2023-05-22 21:15:36,690 INFO | Server [5] is listening !
2023-05-22 21:15:36,690 INFO | Server [6] was established !
2023-05-22 21:15:36,690 INFO | Server [6] is listening !
2023-05-22 21:15:36,691 INFO | Server [7] was established !
2023-05-22 21:15:36,691 INFO | Server [7] is listening !
2023-05-22 21:15:36,692 INFO | Server [8] was established !
2023-05-22 21:15:36,692 INFO | Server [8] is listening !
2023-05-22 21:15:36,693 INFO | Server [9] was established !
2023-05-22 21:15:36,693 INFO | Server [9] is listening !
2023-05-22 21:15:36,693 INFO | Server [10] was established !
2023-05-22 21:15:36,694 INFO | Server [10] is listening !
2023-05-22 21:15:36,694 INFO | Server [11] was established !
2023-05-22 21:15:36,694 INFO | Server [11] is listening !
2023-05-22 21:15:36,695 INFO | Server [12] was established !
2023-05-22 21:15:36,695 INFO | Server [12] is listening !
2023-05-22 21:15:36,696 INFO | Server [13] was established !
2023-05-22 21:15:36,696 INFO | Server [13] is listening !
2023-05-22 21:15:36,696 INFO | Server [14] was established !
2023-05-22 21:15:36,696 INFO | Server [14] is listening !
2023-05-22 21:15:36,698 INFO | Server [15] was established !
2023-05-22 21:15:36,698 INFO | Client [0] was established !
2023-05-22 21:15:36,699 INFO | Server [15] is listening !
2023-05-22 21:15:36,699 INFO | Client [0] is listening!
2023-05-22 21:15:36,760 INFO 1 <---- 0 with PRE_PREPARE [0, 0]
2023-05-22 21:15:36,763 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:15:37,703 INFO 1 <---- 0 with PRE_PREPARE [0, 1]
2023-05-22 21:15:37,705 INFO 0 <---- 1 with PREPARE - [0, 1]
2023-05-22 21:15:38,090 INFO 2 <---- 0 with PRE_PREPARE [0, 0]
2023-05-22 21:15:38,092 INFO 0 <---- 2 with PREPARE - [0, 0]
2023-05-22 21:15:38,261 INFO 2 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:15:38,714 INFO 1 <---- 0 with PRE_PREPARE [0, 2]
2023-05-22 21:15:38,715 INFO 0 <---- 1 with PREPARE - [0, 2]
2023-05-22 21:15:38,913 INFO 2 <---- 1 with PREPARE - [0, 1]
2023-05-22 21:15:38,945 INFO 2 <---- 0 with PRE_PREPARE [0, 1]
2023-05-22 21:15:38,946 INFO 0 <---- 1 with PREPARE - [0, 1]
2023-05-22 21:15:39,386 INFO 3 <---- 0 with PRE_PREPARE [0, 0]
2023-05-22 21:15:39,388 INFO 0 <---- 3 with PREPARE - [0, 0]
2023-05-22 21:15:39,444 INFO 1 <---- 2 with PREPARE - [0, 0]
2023-05-22 21:15:39,694 INFO 3 <---- 1 with PREPARE - [0, 0]
2023-05-22 21:15:39,975 INFO 2 <---- 0 with PRE_PREPARE [0, 2]
2023-05-22 21:15:39,978 INFO 0 <---- 2 with PREPARE - [0, 2]
2023-05-22 21:15:40,006 INFO 2 <---- 1 with PREPARE - [0, 2]
2023-05-22 21:15:40,313 INFO 3 <---- 0 with PRE_PREPARE [0, 1]
2023-05-22 21:15:40,362 INFO 3 <---- 1 with PREPARE - [0, 1]
2023-05-22 21:15:40,363 INFO 0 <---- 3 with PREPARE - [0, 1]
