2023-05-24 01:53:33,968 INFO | Server [0] was established !
2023-05-24 01:53:33,968 INFO | Server [0] is listening !
2023-05-24 01:53:33,969 INFO | Server [1] was established !
2023-05-24 01:53:33,969 INFO | Server [1] is listening !
2023-05-24 01:53:33,970 INFO | Server [2] was established !
2023-05-24 01:53:33,970 INFO | Server [2] is listening !
2023-05-24 01:53:33,970 INFO | Server [3] was established !
2023-05-24 01:53:33,970 INFO | Server [3] is listening !
2023-05-24 01:53:33,970 INFO | Server [4] was established !
2023-05-24 01:53:33,970 INFO | Server [4] is listening !
2023-05-24 01:53:33,970 INFO | Server [5] was established !
2023-05-24 01:53:33,970 INFO | Server [5] is listening !
2023-05-24 01:53:33,971 INFO | Server [6] was established !
2023-05-24 01:53:33,971 INFO | Server [7] was established !
2023-05-24 01:53:33,971 INFO | Client [0] was established !
2023-05-24 01:53:33,972 INFO | Server [6] is listening !
2023-05-24 01:53:33,972 INFO | Client [0] is listening!
2023-05-24 01:53:33,972 INFO | Server [7] is listening !
2023-05-24 01:53:34,026 INFO 1 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 01:53:34,028 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:34,367 INFO 2 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:34,448 INFO 2 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 01:53:34,452 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:34,570 INFO 3 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:34,678 INFO 3 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 01:53:34,680 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:34,802 INFO 1 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:34,865 INFO 1 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:34,929 INFO 4 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:34,979 INFO 1 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 01:53:34,982 INFO 0 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:53:34,990 INFO 2 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:35,177 INFO 4 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 01:53:35,178 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:35,180 INFO 1 <---- 0 with COMMIT - [0, 0]
2023-05-24 01:53:35,239 INFO 2 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:53:35,254 INFO 5 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:35,270 INFO 2 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 01:53:35,272 INFO 0 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:53:35,301 INFO 3 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:35,396 INFO 4 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:35,426 INFO 3 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:53:35,472 INFO 1 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:35,536 INFO 3 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 01:53:35,539 INFO 0 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:53:35,582 INFO 5 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 01:53:35,583 INFO 4 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:53:35,584 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:35,645 INFO 2 <---- 0 with COMMIT - [0, 0]
2023-05-24 01:53:35,677 INFO 2 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:35,692 INFO 1 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:53:35,739 INFO 4 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:35,742 INFO 6 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:35,773 INFO 5 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:35,774 INFO 1 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:53:35,849 INFO 1 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:35,851 INFO 0 <---- 0 with COMMIT - [0, 0]
2023-05-24 01:53:35,880 INFO 4 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 01:53:35,882 INFO 0 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:53:35,886 INFO 1 <---- 0 with COMMIT - [0, 1]
2023-05-24 01:53:35,928 INFO 7 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:35,930 INFO 3 <---- 0 with COMMIT - [0, 0]
2023-05-24 01:53:35,944 INFO 5 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:53:36,006 INFO 3 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:36,007 INFO 5 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 01:53:36,009 INFO 0 <---- 1 with PREPARE - [0, 1]
2023-05-24 01:53:36,021 INFO 6 <---- 1 with PREPARE - [0, 0]
2023-05-24 01:53:36,022 INFO 2 <---- 0 with COMMIT - [0, 0]
