2023-05-24 02:00:44,374 INFO | Server [0] was established !
2023-05-24 02:00:44,374 INFO | Server [0] is listening !
2023-05-24 02:00:44,374 INFO | Server [1] was established !
2023-05-24 02:00:44,374 INFO | Server [1] is listening !
2023-05-24 02:00:44,375 INFO | Server [2] was established !
2023-05-24 02:00:44,375 INFO | Server [2] is listening !
2023-05-24 02:00:44,375 INFO | Server [3] was established !
2023-05-24 02:00:44,376 INFO | Server [3] is listening !
2023-05-24 02:00:44,376 INFO | Server [4] was established !
2023-05-24 02:00:44,376 INFO | Server [4] is listening !
2023-05-24 02:00:44,376 INFO | Server [5] was established !
2023-05-24 02:00:44,376 INFO | Server [5] is listening !
2023-05-24 02:00:44,377 INFO | Server [6] was established !
2023-05-24 02:00:44,377 INFO | Server [7] was established !
2023-05-24 02:00:44,378 INFO | Client [0] was established !
2023-05-24 02:00:44,428 INFO | Client [0] is listening!
2023-05-24 02:00:44,428 INFO | Server [7] is listening !
2023-05-24 02:00:44,428 INFO | Server [6] is listening !
2023-05-24 02:00:44,431 INFO 1 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:00:44,432 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:00:44,493 INFO 1 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 02:00:44,494 INFO 0 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:00:44,596 INFO 1 <---- 0 with PRE_PREPARE [0, 2]
2023-05-24 02:00:44,598 INFO 0 <---- 1 with PREPARE - [0, 2]
2023-05-24 02:00:44,706 INFO 1 <---- 0 with PRE_PREPARE [0, 3]
2023-05-24 02:00:44,708 INFO 0 <---- 1 with PREPARE - [0, 3]
2023-05-24 02:00:44,748 INFO 2 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 02:00:44,750 INFO 0 <---- 2 with PREPARE - [0, 1]
2023-05-24 02:00:44,796 INFO 2 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:00:44,815 INFO 1 <---- 0 with PRE_PREPARE [0, 4]
2023-05-24 02:00:44,816 INFO 0 <---- 1 with PREPARE - [0, 4]
2023-05-24 02:00:44,876 INFO 2 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:00:44,891 INFO 2 <---- 0 with PRE_PREPARE [0, 3]
2023-05-24 02:00:44,893 INFO 2 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:00:44,894 INFO 0 <---- 2 with PREPARE - [0, 3]
2023-05-24 02:00:44,896 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:00:44,928 INFO 1 <---- 0 with PRE_PREPARE [0, 5]
2023-05-24 02:00:44,931 INFO 0 <---- 1 with PREPARE - [0, 5]
2023-05-24 02:00:44,970 INFO 2 <---- 1 with PREPARE - [0, 2]
2023-05-24 02:00:45,000 INFO 1 <---- 2 with PREPARE - [0, 1]
2023-05-24 02:00:45,016 INFO 1 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:00:45,037 INFO 1 <---- 0 with PRE_PREPARE [0, 6]
2023-05-24 02:00:45,039 INFO 0 <---- 1 with PREPARE - [0, 6]
2023-05-24 02:00:45,046 INFO 2 <---- 1 with PREPARE - [0, 3]
2023-05-24 02:00:45,078 INFO 2 <---- 0 with PRE_PREPARE [0, 2]
2023-05-24 02:00:45,081 INFO 0 <---- 1 with PREPARE - [0, 2]
2023-05-24 02:00:45,143 INFO 1 <---- 0 with PRE_PREPARE [0, 7]
2023-05-24 02:00:45,145 INFO 0 <---- 1 with PREPARE - [0, 7]
2023-05-24 02:00:45,155 INFO 2 <---- 1 with PREPARE - [0, 5]
2023-05-24 02:00:45,156 INFO 3 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:00:45,202 INFO 3 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 02:00:45,204 INFO 0 <---- 3 with PREPARE - [0, 1]
2023-05-24 02:00:45,217 INFO 2 <---- 0 with PRE_PREPARE [0, 4]
2023-05-24 02:00:45,219 INFO 2 <---- 1 with PREPARE - [0, 4]
2023-05-24 02:00:45,221 INFO 3 <---- 0 with PRE_PREPARE [0, 3]
2023-05-24 02:00:45,222 INFO 0 <---- 2 with PREPARE - [0, 4]
2023-05-24 02:00:45,223 INFO 0 <---- 3 with PREPARE - [0, 3]
2023-05-24 02:00:45,248 INFO 3 <---- 1 with PREPARE - [0, 3]
2023-05-24 02:00:45,249 INFO 3 <---- 0 with PRE_PREPARE [0, 2]
2023-05-24 02:00:45,251 INFO 0 <---- 3 with PREPARE - [0, 2]
2023-05-24 02:00:45,253 INFO 1 <---- 0 with PRE_PREPARE [0, 8]
2023-05-24 02:00:45,255 INFO 0 <---- 1 with PREPARE - [0, 8]
2023-05-24 02:00:45,281 INFO 4 <---- 1 with PREPARE - [0, 0]
