2023-05-24 02:01:46,842 INFO | Server [0] was established !
2023-05-24 02:01:46,843 INFO | Server [0] is listening !
2023-05-24 02:01:46,845 INFO | Server [1] was established !
2023-05-24 02:01:46,845 INFO | Server [1] is listening !
2023-05-24 02:01:46,846 INFO | Server [2] was established !
2023-05-24 02:01:46,847 INFO | Server [2] is listening !
2023-05-24 02:01:46,848 INFO | Server [3] was established !
2023-05-24 02:01:46,849 INFO | Server [3] is listening !
2023-05-24 02:01:46,850 INFO | Server [4] was established !
2023-05-24 02:01:46,850 INFO | Server [4] is listening !
2023-05-24 02:01:46,852 INFO | Server [5] was established !
2023-05-24 02:01:46,855 INFO | Server [6] was established !
2023-05-24 02:01:46,855 INFO | Server [5] is listening !
2023-05-24 02:01:46,858 INFO | Server [6] is listening !
2023-05-24 02:01:46,858 INFO | Server [7] was established !
2023-05-24 02:01:46,859 INFO | Server [7] is listening !
2023-05-24 02:01:46,861 INFO | Client [0] was established !
2023-05-24 02:01:46,861 INFO | Client [0] is listening!
2023-05-24 02:01:46,935 INFO 1 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:01:46,939 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:01:47,001 INFO 1 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 02:01:47,004 INFO 0 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:01:47,048 INFO 2 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:01:47,086 INFO 1 <---- 0 with PRE_PREPARE [0, 2]
2023-05-24 02:01:47,090 INFO 0 <---- 1 with PREPARE - [0, 2]
2023-05-24 02:01:47,198 INFO 1 <---- 0 with PRE_PREPARE [0, 3]
2023-05-24 02:01:47,202 INFO 0 <---- 1 with PREPARE - [0, 3]
2023-05-24 02:01:47,206 INFO 3 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:01:47,221 INFO 2 <---- 0 with PRE_PREPARE [0, 2]
2023-05-24 02:01:47,225 INFO 0 <---- 2 with PREPARE - [0, 2]
2023-05-24 02:01:47,254 INFO 2 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 02:01:47,259 INFO 0 <---- 2 with PREPARE - [0, 1]
2023-05-24 02:01:47,302 INFO 1 <---- 0 with PRE_PREPARE [0, 4]
2023-05-24 02:01:47,304 INFO 0 <---- 1 with PREPARE - [0, 4]
2023-05-24 02:01:47,412 INFO 1 <---- 0 with PRE_PREPARE [0, 5]
2023-05-24 02:01:47,414 INFO 0 <---- 1 with PREPARE - [0, 5]
2023-05-24 02:01:47,437 INFO 2 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:01:47,439 INFO 2 <---- 0 with PRE_PREPARE [0, 4]
2023-05-24 02:01:47,440 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:01:47,441 INFO 0 <---- 2 with PREPARE - [0, 4]
2023-05-24 02:01:47,469 INFO 3 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 02:01:47,471 INFO 0 <---- 3 with PREPARE - [0, 1]
2023-05-24 02:01:47,485 INFO 2 <---- 1 with PREPARE - [0, 2]
2023-05-24 02:01:47,487 INFO 1 <---- 2 with PREPARE - [0, 1]
2023-05-24 02:01:47,488 INFO 2 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:01:47,520 INFO 1 <---- 0 with PRE_PREPARE [0, 6]
2023-05-24 02:01:47,523 INFO 0 <---- 1 with PREPARE - [0, 6]
2023-05-24 02:01:47,530 INFO 3 <---- 0 with PRE_PREPARE [0, 2]
2023-05-24 02:01:47,533 INFO 0 <---- 3 with PREPARE - [0, 2]
2023-05-24 02:01:47,547 INFO 4 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:01:47,578 INFO 2 <---- 1 with PREPARE - [0, 5]
2023-05-24 02:01:47,626 INFO 4 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 02:01:47,629 INFO 2 <---- 1 with PREPARE - [0, 4]
2023-05-24 02:01:47,634 INFO 0 <---- 4 with PREPARE - [0, 1]
2023-05-24 02:01:47,638 INFO 1 <---- 0 with COMMIT - [0, 1]
2023-05-24 02:01:47,640 INFO 2 <---- 0 with PRE_PREPARE [0, 3]
2023-05-24 02:01:47,642 INFO 2 <---- 1 with PREPARE - [0, 3]
2023-05-24 02:01:47,645 INFO 0 <---- 2 with PREPARE - [0, 3]
2023-05-24 02:01:47,686 INFO 1 <---- 2 with PREPARE - [0, 2]
2023-05-24 02:01:47,701 INFO 2 <---- 1 with PREPARE - [0, 6]
2023-05-24 02:01:47,716 INFO 1 <---- 3 with PREPARE - [0, 1]
2023-05-24 02:01:47,735 INFO 1 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:01:47,748 INFO 3 <---- 1 with PREPARE - [0, 2]
2023-05-24 02:01:47,749 INFO 5 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:01:47,764 INFO 1 <---- 4 with PREPARE - [0, 1]
2023-05-24 02:01:47,765 INFO 2 <---- 0 with PRE_PREPARE [0, 5]
2023-05-24 02:01:47,770 INFO 0 <---- 1 with PREPARE - [0, 5]
2023-05-24 02:01:47,810 INFO 3 <---- 1 with PREPARE - [0, 4]
2023-05-24 02:01:47,811 INFO 2 <---- 0 with COMMIT - [0, 1]
2023-05-24 02:01:47,825 INFO 3 <---- 2 with PREPARE - [0, 2]
2023-05-24 02:01:47,826 INFO 3 <---- 1 with PREPARE - [0, 5]
2023-05-24 02:01:47,841 INFO 4 <---- 0 with PRE_PREPARE [0, 2]
2023-05-24 02:01:47,847 INFO 0 <---- 4 with PREPARE - [0, 2]
2023-05-24 02:01:47,852 INFO 1 <---- 0 with COMMIT - [0, 2]
2023-05-24 02:01:47,857 INFO 1 <---- 2 with PREPARE - [0, 4]
2023-05-24 02:01:47,859 INFO 1 <---- 2 with PREPARE - [0, 3]
2023-05-24 02:01:47,872 INFO 2 <---- 0 with PRE_PREPARE [0, 6]
2023-05-24 02:01:47,877 INFO 0 <---- 1 with PREPARE - [0, 6]
2023-05-24 02:01:47,888 INFO 6 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:01:47,889 INFO 3 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:01:47,905 INFO 3 <---- 0 with PRE_PREPARE [0, 4]
2023-05-24 02:01:47,906 INFO 3 <---- 0 with PRE_PREPARE [0, 5]
2023-05-24 02:01:47,912 INFO 0 <---- 1 with PREPARE - [0, 4]
2023-05-24 02:01:47,913 INFO 0 <---- 1 with PREPARE - [0, 5]
2023-05-24 02:01:47,922 INFO 2 <---- 3 with PREPARE - [0, 1]
2023-05-24 02:01:47,923 INFO 1 <---- 3 with PREPARE - [0, 2]
2023-05-24 02:01:47,925 INFO 5 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 02:01:47,931 INFO 0 <---- 5 with PREPARE - [0, 1]
2023-05-24 02:01:47,936 INFO 3 <---- 0 with PRE_PREPARE [0, 3]
2023-05-24 02:01:47,942 INFO 0 <---- 3 with PREPARE - [0, 3]
2023-05-24 02:01:47,951 INFO 3 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:01:47,953 INFO 4 <---- 1 with PREPARE - [0, 2]
2023-05-24 02:01:47,960 INFO 0 <---- 1 with PREPARE - [0, 0]
