2023-05-24 02:18:07,278 INFO | Server [0] was established !
2023-05-24 02:18:07,279 INFO | Server [0] is listening !
2023-05-24 02:18:07,279 INFO | Server [1] was established !
2023-05-24 02:18:07,279 INFO | Server [1] is listening !
2023-05-24 02:18:07,279 INFO | Server [2] was established !
2023-05-24 02:18:07,280 INFO | Server [2] is listening !
2023-05-24 02:18:07,280 INFO | Server [3] was established !
2023-05-24 02:18:07,280 INFO | Server [3] is listening !
2023-05-24 02:18:07,280 INFO | Server [4] was established !
2023-05-24 02:18:07,281 INFO | Server [4] is listening !
2023-05-24 02:18:07,281 INFO | Server [5] was established !
2023-05-24 02:18:07,281 INFO | Server [5] is listening !
2023-05-24 02:18:07,281 INFO | Server [6] was established !
2023-05-24 02:18:07,282 INFO | Server [7] was established !
2023-05-24 02:18:07,282 INFO | Server [8] was established !
2023-05-24 02:18:07,283 INFO | Server [9] was established !
2023-05-24 02:18:07,284 INFO | Server [9] is listening !
2023-05-24 02:18:07,283 INFO | Server [10] was established !
2023-05-24 02:18:07,283 INFO | Server [11] was established !
2023-05-24 02:18:07,284 INFO | Server [12] was established !
2023-05-24 02:18:07,284 INFO | Server [8] is listening !
2023-05-24 02:18:07,284 INFO | Server [7] is listening !
2023-05-24 02:18:07,284 INFO | Server [6] is listening !
2023-05-24 02:18:07,284 INFO | Server [10] is listening !
2023-05-24 02:18:07,284 INFO | Server [11] is listening !
2023-05-24 02:18:07,284 INFO | Server [13] was established !
2023-05-24 02:18:07,284 INFO | Server [12] is listening !
2023-05-24 02:18:07,285 INFO | Server [13] is listening !
2023-05-24 02:18:07,286 INFO | Server [14] was established !
2023-05-24 02:18:07,286 INFO | Server [14] is listening !
2023-05-24 02:18:07,286 INFO | Server [15] was established !
2023-05-24 02:18:07,286 INFO | Server [15] is listening !
2023-05-24 02:18:07,286 INFO | Client [0] was established !
2023-05-24 02:18:07,287 INFO | Client [0] is listening!
2023-05-24 02:18:07,339 INFO 1 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:18:07,340 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:18:07,713 INFO 2 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:18:07,715 INFO 0 <---- 2 with PREPARE - [0, 0]
2023-05-24 02:18:07,791 INFO 2 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:18:07,795 INFO 1 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 02:18:07,798 INFO 0 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:18:07,977 INFO 1 <---- 2 with PREPARE - [0, 0]
2023-05-24 02:18:08,008 INFO 3 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:18:08,009 INFO 2 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 02:18:08,010 INFO 0 <---- 2 with PREPARE - [0, 1]
2023-05-24 02:18:08,180 INFO 3 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:18:08,182 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:18:08,196 INFO 2 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:18:08,244 INFO 4 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:18:08,293 INFO 1 <---- 2 with PREPARE - [0, 1]
2023-05-24 02:18:08,298 INFO 1 <---- 0 with PRE_PREPARE [0, 2]
2023-05-24 02:18:08,300 INFO 0 <---- 1 with PREPARE - [0, 2]
2023-05-24 02:18:08,354 INFO 3 <---- 2 with PREPARE - [0, 0]
2023-05-24 02:18:08,355 INFO 3 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:18:08,400 INFO 1 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:18:08,431 INFO 4 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:18:08,433 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:18:08,446 INFO 3 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 02:18:08,447 INFO 0 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:18:08,574 INFO 3 <---- 2 with PREPARE - [0, 1]
2023-05-24 02:18:08,651 INFO 2 <---- 0 with PRE_PREPARE [0, 2]
2023-05-24 02:18:08,653 INFO 0 <---- 2 with PREPARE - [0, 2]
2023-05-24 02:18:08,683 INFO 5 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:18:08,745 INFO 4 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:18:08,761 INFO 1 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:18:08,778 INFO 4 <---- 2 with PREPARE - [0, 0]
2023-05-24 02:18:08,793 INFO 2 <---- 1 with PREPARE - [0, 2]
2023-05-24 02:18:08,806 INFO 2 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:18:08,810 INFO 1 <---- 0 with PRE_PREPARE [0, 3]
2023-05-24 02:18:08,812 INFO 0 <---- 1 with PREPARE - [0, 3]
2023-05-24 02:18:08,838 INFO 4 <---- 2 with PREPARE - [0, 1]
2023-05-24 02:18:08,839 INFO 4 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 02:18:08,842 INFO 0 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:18:08,854 INFO 3 <---- 0 with PRE_PREPARE [0, 2]
2023-05-24 02:18:08,856 INFO 5 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:18:08,859 INFO 0 <---- 3 with PREPARE - [0, 2]
2023-05-24 02:18:08,860 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:18:08,917 INFO 1 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:18:08,963 INFO 1 <---- 2 with PREPARE - [0, 2]
2023-05-24 02:18:08,966 INFO 6 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:18:08,995 INFO 6 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:18:08,999 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:18:09,028 INFO 2 <---- 0 with PRE_PREPARE [0, 3]
2023-05-24 02:18:09,031 INFO 0 <---- 2 with PREPARE - [0, 3]
2023-05-24 02:18:09,104 INFO 1 <---- 3 with PREPARE - [0, 2]
2023-05-24 02:18:09,119 INFO 2 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:18:09,150 INFO 3 <---- 1 with PREPARE - [0, 2]
2023-05-24 02:18:09,152 INFO 4 <---- 0 with PRE_PREPARE [0, 2]
2023-05-24 02:18:09,156 INFO 0 <---- 4 with PREPARE - [0, 2]
2023-05-24 02:18:09,181 INFO 5 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:18:09,184 INFO 1 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:18:09,197 INFO 5 <---- 2 with PREPARE - [0, 0]
2023-05-24 02:18:09,199 INFO 1 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:18:09,214 INFO 2 <---- 1 with PREPARE - [0, 3]
2023-05-24 02:18:09,216 INFO 7 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:18:09,244 INFO 5 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 02:18:09,248 INFO 0 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:18:09,259 INFO 2 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:18:09,261 INFO 5 <---- 2 with PREPARE - [0, 1]
2023-05-24 02:18:09,275 INFO 5 <---- 0 with PRE_PREPARE [0, 2]
2023-05-24 02:18:09,278 INFO 3 <---- 0 with PRE_PREPARE [0, 3]
2023-05-24 02:18:09,280 INFO 0 <---- 5 with PREPARE - [0, 2]
2023-05-24 02:18:09,281 INFO 0 <---- 3 with PREPARE - [0, 3]
2023-05-24 02:18:09,288 INFO 2 <---- 3 with PREPARE - [0, 2]
2023-05-24 02:18:09,290 INFO 4 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:18:09,290 INFO 4 <---- 1 with PREPARE - [0, 2]
2023-05-24 02:18:09,328 INFO 1 <---- 0 with PRE_PREPARE [0, 4]
2023-05-24 02:18:09,331 INFO 0 <---- 1 with PREPARE - [0, 4]
2023-05-24 02:18:09,334 INFO 7 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:18:09,337 INFO 1 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:18:09,338 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:18:09,350 INFO 3 <---- 1 with PREPARE - [0, 3]
2023-05-24 02:18:09,366 INFO 6 <---- 2 with PREPARE - [0, 0]
2023-05-24 02:18:09,368 INFO 3 <---- 2 with PREPARE - [0, 2]
2023-05-24 02:18:09,491 INFO 6 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:18:09,492 INFO 4 <---- 1 with PREPARE - [0, 3]
2023-05-24 02:18:09,523 INFO 1 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:18:09,525 INFO 2 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:18:09,537 INFO 2 <---- 1 with PREPARE - [0, 4]
2023-05-24 02:18:09,538 INFO 4 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:18:09,539 INFO 1 <---- 2 with PREPARE - [0, 3]
2023-05-24 02:18:09,540 INFO 6 <---- 0 with PRE_PREPARE [0, 1]
