2023-05-24 02:23:25,083 INFO | Server [0] was established !
2023-05-24 02:23:25,083 INFO | Server [0] is listening !
2023-05-24 02:23:25,084 INFO | Server [1] was established !
2023-05-24 02:23:25,084 INFO | Server [1] is listening !
2023-05-24 02:23:25,085 INFO | Server [2] was established !
2023-05-24 02:23:25,085 INFO | Server [2] is listening !
2023-05-24 02:23:25,085 INFO | Server [3] was established !
2023-05-24 02:23:25,085 INFO | Server [3] is listening !
2023-05-24 02:23:25,087 INFO | Server [4] was established !
2023-05-24 02:23:25,087 INFO | Server [4] is listening !
2023-05-24 02:23:25,087 INFO | Server [5] was established !
2023-05-24 02:23:25,087 INFO | Server [5] is listening !
2023-05-24 02:23:25,088 INFO | Server [6] was established !
2023-05-24 02:23:25,088 INFO | Server [6] is listening !
2023-05-24 02:23:25,088 INFO | Server [7] was established !
2023-05-24 02:23:25,088 INFO | Server [7] is listening !
2023-05-24 02:23:25,089 INFO | Server [8] was established !
2023-05-24 02:23:25,089 INFO | Server [8] is listening !
2023-05-24 02:23:25,089 INFO | Server [9] was established !
2023-05-24 02:23:25,089 INFO | Server [9] is listening !
2023-05-24 02:23:25,089 INFO | Server [10] was established !
2023-05-24 02:23:25,089 INFO | Server [10] is listening !
2023-05-24 02:23:25,089 INFO | Server [11] was established !
2023-05-24 02:23:25,090 INFO | Server [11] is listening !
2023-05-24 02:23:25,090 INFO | Server [12] was established !
2023-05-24 02:23:25,090 INFO | Server [12] is listening !
2023-05-24 02:23:25,091 INFO | Server [13] was established !
2023-05-24 02:23:25,091 INFO | Server [13] is listening !
2023-05-24 02:23:25,091 INFO | Server [14] was established !
2023-05-24 02:23:25,092 INFO | Server [14] is listening !
2023-05-24 02:23:25,092 INFO | Server [15] was established !
2023-05-24 02:23:25,092 INFO | Server [15] is listening !
2023-05-24 02:23:25,093 INFO | Client [0] was established !
2023-05-24 02:23:25,156 INFO | Client [0] is listening!
2023-05-24 02:23:25,162 INFO 1 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:23:25,165 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:23:25,221 INFO 1 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 02:23:25,223 INFO 0 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:23:25,307 INFO 2 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:23:25,309 INFO 0 <---- 2 with PREPARE - [0, 0]
2023-05-24 02:23:25,310 INFO 1 <---- 0 with PRE_PREPARE [0, 2]
2023-05-24 02:23:25,311 INFO 0 <---- 1 with PREPARE - [0, 2]
2023-05-24 02:23:25,421 INFO 1 <---- 0 with PRE_PREPARE [0, 3]
2023-05-24 02:23:25,422 INFO 0 <---- 1 with PREPARE - [0, 3]
2023-05-24 02:23:25,449 INFO 2 <---- 1 with PREPARE - [0, 2]
2023-05-24 02:23:25,481 INFO 1 <---- 2 with PREPARE - [0, 0]
2023-05-24 02:23:25,512 INFO 2 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:23:25,513 INFO 2 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 02:23:25,515 INFO 3 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:23:25,516 INFO 0 <---- 2 with PREPARE - [0, 1]
2023-05-24 02:23:25,517 INFO 0 <---- 3 with PREPARE - [0, 0]
2023-05-24 02:23:25,532 INFO 1 <---- 0 with PRE_PREPARE [0, 4]
2023-05-24 02:23:25,534 INFO 0 <---- 1 with PREPARE - [0, 4]
2023-05-24 02:23:25,544 INFO 2 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:23:25,638 INFO 3 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 02:23:25,640 INFO 0 <---- 3 with PREPARE - [0, 1]
2023-05-24 02:23:25,642 INFO 1 <---- 0 with PRE_PREPARE [0, 5]
2023-05-24 02:23:25,644 INFO 0 <---- 1 with PREPARE - [0, 5]
2023-05-24 02:23:25,652 INFO 2 <---- 1 with PREPARE - [0, 3]
2023-05-24 02:23:25,715 INFO 3 <---- 1 with PREPARE - [0, 2]
2023-05-24 02:23:25,748 INFO 2 <---- 0 with PRE_PREPARE [0, 3]
2023-05-24 02:23:25,750 INFO 0 <---- 1 with PREPARE - [0, 3]
2023-05-24 02:23:25,751 INFO 1 <---- 0 with PRE_PREPARE [0, 6]
2023-05-24 02:23:25,752 INFO 0 <---- 1 with PREPARE - [0, 6]
2023-05-24 02:23:25,762 INFO 4 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:23:25,762 INFO 2 <---- 0 with PRE_PREPARE [0, 2]
2023-05-24 02:23:25,764 INFO 0 <---- 4 with PREPARE - [0, 0]
2023-05-24 02:23:25,764 INFO 0 <---- 1 with PREPARE - [0, 2]
2023-05-24 02:23:25,779 INFO 2 <---- 1 with PREPARE - [0, 5]
2023-05-24 02:23:25,779 INFO 3 <---- 1 with PREPARE - [0, 3]
2023-05-24 02:23:25,780 INFO 1 <---- 3 with PREPARE - [0, 0]
2023-05-24 02:23:25,794 INFO 1 <---- 3 with PREPARE - [0, 1]
2023-05-24 02:23:25,825 INFO 3 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:23:25,860 INFO 1 <---- 0 with PRE_PREPARE [0, 7]
2023-05-24 02:23:25,862 INFO 0 <---- 1 with PREPARE - [0, 7]
2023-05-24 02:23:25,869 INFO 3 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:23:25,887 INFO 3 <---- 2 with PREPARE - [0, 0]
2023-05-24 02:23:25,902 INFO 4 <---- 1 with PREPARE - [0, 2]
2023-05-24 02:23:25,935 INFO 4 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 02:23:25,937 INFO 3 <---- 0 with PRE_PREPARE [0, 3]
2023-05-24 02:23:25,939 INFO 0 <---- 4 with PREPARE - [0, 1]
2023-05-24 02:23:25,940 INFO 0 <---- 1 with PREPARE - [0, 3]
2023-05-24 02:23:25,967 INFO 2 <---- 0 with PRE_PREPARE [0, 5]
2023-05-24 02:23:25,968 INFO 1 <---- 2 with PREPARE - [0, 1]
2023-05-24 02:23:25,970 INFO 2 <---- 0 with PRE_PREPARE [0, 4]
2023-05-24 02:23:25,972 INFO 0 <---- 1 with PREPARE - [0, 5]
2023-05-24 02:23:25,973 INFO 0 <---- 2 with PREPARE - [0, 4]
2023-05-24 02:23:25,973 INFO 1 <---- 0 with PRE_PREPARE [0, 8]
2023-05-24 02:23:25,974 INFO 0 <---- 1 with PREPARE - [0, 8]
2023-05-24 02:23:25,978 INFO 2 <---- 3 with PREPARE - [0, 1]
2023-05-24 02:23:26,011 INFO 2 <---- 1 with PREPARE - [0, 4]
2023-05-24 02:23:26,012 INFO 3 <---- 0 with PRE_PREPARE [0, 2]
2023-05-24 02:23:26,014 INFO 0 <---- 1 with PREPARE - [0, 2]
2023-05-24 02:23:26,078 INFO 4 <---- 0 with PRE_PREPARE [0, 3]
2023-05-24 02:23:26,080 INFO 5 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:23:26,082 INFO 2 <---- 1 with PREPARE - [0, 7]
2023-05-24 02:23:26,083 INFO 0 <---- 4 with PREPARE - [0, 3]
2023-05-24 02:23:26,084 INFO 0 <---- 5 with PREPARE - [0, 0]
2023-05-24 02:23:26,084 INFO 1 <---- 0 with PRE_PREPARE [0, 9]
2023-05-24 02:23:26,085 INFO 0 <---- 1 with PREPARE - [0, 9]
2023-05-24 02:23:26,086 INFO 2 <---- 0 with PRE_PREPARE [0, 6]
2023-05-24 02:23:26,087 INFO 0 <---- 2 with PREPARE - [0, 6]
2023-05-24 02:23:26,102 INFO 1 <---- 1 with PREPARE - [0, 3]
2023-05-24 02:23:26,119 INFO 4 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:23:26,135 INFO 2 <---- 3 with PREPARE - [0, 0]
2023-05-24 02:23:26,150 INFO 2 <---- 0 with PRE_PREPARE [0, 7]
2023-05-24 02:23:26,154 INFO 0 <---- 1 with PREPARE - [0, 7]
2023-05-24 02:23:26,168 INFO 4 <---- 2 with PREPARE - [0, 0]
2023-05-24 02:23:26,182 INFO 1 <---- 1 with PREPARE - [0, 2]
2023-05-24 02:23:26,184 INFO 3 <---- 1 with PREPARE - [0, 4]
2023-05-24 02:23:26,185 INFO 1 <---- 2 with PREPARE - [0, 4]
2023-05-24 02:23:26,190 INFO 1 <---- 0 with PRE_PREPARE [0, 10]
2023-05-24 02:23:26,192 INFO 0 <---- 1 with PREPARE - [0, 10]
2023-05-24 02:23:26,214 INFO 3 <---- 1 with PREPARE - [0, 7]
2023-05-24 02:23:26,226 INFO 2 <---- 1 with PREPARE - [0, 6]
2023-05-24 02:23:26,226 INFO 3 <---- 0 with PRE_PREPARE [0, 4]
2023-05-24 02:23:26,229 INFO 0 <---- 1 with PREPARE - [0, 4]
2023-05-24 02:23:26,250 INFO 3 <---- 0 with PRE_PREPARE [0, 5]
2023-05-24 02:23:26,251 INFO 3 <---- 2 with PREPARE - [0, 1]
2023-05-24 02:23:26,252 INFO 0 <---- 3 with PREPARE - [0, 5]
2023-05-24 02:23:26,259 INFO 3 <---- 1 with PREPARE - [0, 5]
2023-05-24 02:23:26,259 INFO 4 <---- 1 with PREPARE - [0, 3]
