2023-05-24 02:26:08,777 INFO | Server [0] was established !
2023-05-24 02:26:08,777 INFO | Server [0] is listening !
2023-05-24 02:26:08,777 INFO | Server [1] was established !
2023-05-24 02:26:08,778 INFO | Server [2] was established !
2023-05-24 02:26:08,778 INFO | Server [2] is listening !
2023-05-24 02:26:08,778 INFO | Server [1] is listening !
2023-05-24 02:26:08,778 INFO | Server [3] was established !
2023-05-24 02:26:08,779 INFO | Server [3] is listening !
2023-05-24 02:26:08,779 INFO | Server [4] was established !
2023-05-24 02:26:08,779 INFO | Server [4] is listening !
2023-05-24 02:26:08,779 INFO | Server [5] was established !
2023-05-24 02:26:08,779 INFO | Server [5] is listening !
2023-05-24 02:26:08,780 INFO | Server [6] was established !
2023-05-24 02:26:08,782 INFO | Server [6] is listening !
2023-05-24 02:26:08,780 INFO | Server [7] was established !
2023-05-24 02:26:08,781 INFO | Server [9] was established !
2023-05-24 02:26:08,781 INFO | Server [10] was established !
2023-05-24 02:26:08,782 INFO | Server [11] was established !
2023-05-24 02:26:08,780 INFO | Server [8] was established !
2023-05-24 02:26:08,782 INFO | Server [7] is listening !
2023-05-24 02:26:08,783 INFO | Server [8] is listening !
2023-05-24 02:26:08,782 INFO | Server [9] is listening !
2023-05-24 02:26:08,783 INFO | Server [11] is listening !
2023-05-24 02:26:08,782 INFO | Server [10] is listening !
2023-05-24 02:26:08,782 INFO | Server [12] was established !
2023-05-24 02:26:08,783 INFO | Server [12] is listening !
2023-05-24 02:26:08,783 INFO | Server [13] was established !
2023-05-24 02:26:08,783 INFO | Server [13] is listening !
2023-05-24 02:26:08,783 INFO | Server [14] was established !
2023-05-24 02:26:08,784 INFO | Server [14] is listening !
2023-05-24 02:26:08,784 INFO | Server [15] was established !
2023-05-24 02:26:08,784 INFO | Server [15] is listening !
2023-05-24 02:26:08,784 INFO | Client [0] was established !
2023-05-24 02:26:08,785 INFO | Client [0] is listening!
2023-05-24 02:26:08,835 INFO 1 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:26:08,836 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:26:08,985 INFO 2 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:26:08,988 INFO 0 <---- 2 with PREPARE - [0, 0]
2023-05-24 02:26:09,090 INFO 2 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:26:09,105 INFO 3 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:26:09,107 INFO 0 <---- 3 with PREPARE - [0, 0]
2023-05-24 02:26:09,229 INFO 4 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:26:09,231 INFO 0 <---- 4 with PREPARE - [0, 0]
2023-05-24 02:26:09,298 INFO 1 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 02:26:09,300 INFO 0 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:26:09,338 INFO 1 <---- 3 with PREPARE - [0, 0]
2023-05-24 02:26:09,415 INFO 3 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:26:09,431 INFO 1 <---- 2 with PREPARE - [0, 0]
2023-05-24 02:26:09,509 INFO 2 <---- 3 with PREPARE - [0, 0]
2023-05-24 02:26:09,524 INFO 2 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 02:26:09,525 INFO 0 <---- 2 with PREPARE - [0, 1]
2023-05-24 02:26:09,540 INFO 1 <---- 4 with PREPARE - [0, 0]
2023-05-24 02:26:09,589 INFO 2 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:26:09,649 INFO 4 <---- 3 with PREPARE - [0, 0]
2023-05-24 02:26:09,744 INFO 5 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:26:09,748 INFO 0 <---- 5 with PREPARE - [0, 0]
2023-05-24 02:26:09,759 INFO 2 <---- 4 with PREPARE - [0, 0]
2023-05-24 02:26:09,776 INFO 5 <---- 3 with PREPARE - [0, 0]
