2023-05-24 02:31:22,233 INFO | Server [0] was established !
2023-05-24 02:31:22,233 INFO | Server [0] is listening !
2023-05-24 02:31:22,233 INFO | Server [1] was established !
2023-05-24 02:31:22,233 INFO | Server [1] is listening !
2023-05-24 02:31:22,234 INFO | Server [2] was established !
2023-05-24 02:31:22,234 INFO | Server [2] is listening !
2023-05-24 02:31:22,234 INFO | Server [3] was established !
2023-05-24 02:31:22,234 INFO | Server [3] is listening !
2023-05-24 02:31:22,234 INFO | Server [4] was established !
2023-05-24 02:31:22,236 INFO | Server [4] is listening !
2023-05-24 02:31:22,236 INFO | Server [5] was established !
2023-05-24 02:31:22,236 INFO | Server [5] is listening !
2023-05-24 02:31:22,236 INFO | Server [6] was established !
2023-05-24 02:31:22,236 INFO | Server [7] was established !
2023-05-24 02:31:22,236 INFO | Server [7] is listening !
2023-05-24 02:31:22,236 INFO | Server [8] was established !
2023-05-24 02:31:22,236 INFO | Server [6] is listening !
2023-05-24 02:31:22,236 INFO | Server [8] is listening !
2023-05-24 02:31:22,238 INFO | Server [9] was established !
2023-05-24 02:31:22,238 INFO | Server [9] is listening !
2023-05-24 02:31:22,238 INFO | Server [10] was established !
2023-05-24 02:31:22,238 INFO | Server [10] is listening !
2023-05-24 02:31:22,238 INFO | Server [11] was established !
2023-05-24 02:31:22,238 INFO | Server [11] is listening !
2023-05-24 02:31:22,238 INFO | Server [12] was established !
2023-05-24 02:31:22,238 INFO | Server [12] is listening !
2023-05-24 02:31:22,238 INFO | Server [13] was established !
2023-05-24 02:31:22,239 INFO | Server [13] is listening !
2023-05-24 02:31:22,239 INFO | Server [14] was established !
2023-05-24 02:31:22,239 INFO | Server [14] is listening !
2023-05-24 02:31:22,240 INFO | Server [15] was established !
2023-05-24 02:31:22,240 INFO | Server [15] is listening !
2023-05-24 02:31:22,240 INFO | Client [0] was established !
2023-05-24 02:31:22,241 INFO | Client [0] is listening!
2023-05-24 02:31:22,292 INFO 1 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:31:22,294 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:31:22,695 INFO 2 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:31:22,760 INFO 1 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 02:31:22,761 INFO 0 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:22,773 INFO 2 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:31:22,773 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:31:22,886 INFO 2 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:23,039 INFO 2 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 02:31:23,040 INFO 3 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:31:23,042 INFO 0 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:23,163 INFO 3 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:31:23,166 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:31:23,210 INFO 3 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:23,242 INFO 1 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:31:23,280 INFO 1 <---- 0 with PRE_PREPARE [0, 2]
2023-05-24 02:31:23,281 INFO 0 <---- 1 with PREPARE - [0, 2]
2023-05-24 02:31:23,396 INFO 4 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:31:23,397 INFO 0 <---- 4 with PREPARE - [0, 0]
2023-05-24 02:31:23,430 INFO 1 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:23,430 INFO 2 <---- 0 with PRE_PREPARE [0, 2]
2023-05-24 02:31:23,432 INFO 4 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:31:23,433 INFO 0 <---- 2 with PREPARE - [0, 2]
2023-05-24 02:31:23,494 INFO 1 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:31:23,525 INFO 3 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 02:31:23,528 INFO 0 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:23,586 INFO 1 <---- 4 with PREPARE - [0, 0]
2023-05-24 02:31:23,635 INFO 4 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:23,650 INFO 4 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 02:31:23,655 INFO 0 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:23,696 INFO 3 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:31:23,712 INFO 1 <---- 2 with PREPARE - [0, 2]
2023-05-24 02:31:23,715 INFO 5 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:31:23,716 INFO 2 <---- 1 with PREPARE - [0, 2]
2023-05-24 02:31:23,717 INFO 2 <---- 4 with PREPARE - [0, 0]
2023-05-24 02:31:23,720 INFO 0 <---- 5 with PREPARE - [0, 0]
2023-05-24 02:31:23,743 INFO 3 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:23,771 INFO 1 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:23,772 INFO 5 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:23,789 INFO 3 <---- 0 with PRE_PREPARE [0, 2]
2023-05-24 02:31:23,793 INFO 0 <---- 3 with PREPARE - [0, 2]
2023-05-24 02:31:23,796 INFO 1 <---- 0 with PRE_PREPARE [0, 3]
2023-05-24 02:31:23,798 INFO 0 <---- 1 with PREPARE - [0, 3]
2023-05-24 02:31:23,803 INFO 5 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:31:23,820 INFO 2 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:31:23,835 INFO 1 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:23,897 INFO 4 <---- 0 with PRE_PREPARE [0, 2]
2023-05-24 02:31:23,899 INFO 6 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:23,900 INFO 0 <---- 4 with PREPARE - [0, 2]
2023-05-24 02:31:23,928 INFO 1 <---- 5 with PREPARE - [0, 0]
2023-05-24 02:31:23,961 INFO 6 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:31:23,976 INFO 2 <---- 0 with PRE_PREPARE [0, 3]
2023-05-24 02:31:23,978 INFO 0 <---- 2 with PREPARE - [0, 3]
2023-05-24 02:31:23,992 INFO 2 <---- 1 with PREPARE - [0, 3]
2023-05-24 02:31:24,023 INFO 6 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:31:24,027 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:31:24,037 INFO 1 <---- 3 with PREPARE - [0, 2]
2023-05-24 02:31:24,039 INFO 2 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:24,133 INFO 7 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:31:24,135 INFO 5 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 02:31:24,138 INFO 0 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:24,146 INFO 1 <---- 4 with PREPARE - [0, 2]
2023-05-24 02:31:24,147 INFO 3 <---- 4 with PREPARE - [0, 0]
2023-05-24 02:31:24,148 INFO 3 <---- 2 with PREPARE - [0, 2]
2023-05-24 02:31:24,148 INFO 3 <---- 1 with PREPARE - [0, 3]
2023-05-24 02:31:24,162 INFO 4 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:31:24,194 INFO 4 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:24,195 INFO 2 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:24,209 INFO 4 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:31:24,210 INFO 3 <---- 1 with PREPARE - [0, 2]
2023-05-24 02:31:24,224 INFO 7 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:31:24,226 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:31:24,257 INFO 7 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:24,258 INFO 1 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:31:24,271 INFO 5 <---- 0 with PRE_PREPARE [0, 2]
2023-05-24 02:31:24,274 INFO 2 <---- 5 with PREPARE - [0, 0]
2023-05-24 02:31:24,276 INFO 0 <---- 5 with PREPARE - [0, 2]
2023-05-24 02:31:24,302 INFO 2 <---- 3 with PREPARE - [0, 2]
2023-05-24 02:31:24,310 INFO 1 <---- 0 with PRE_PREPARE [0, 4]
2023-05-24 02:31:24,313 INFO 0 <---- 1 with PREPARE - [0, 4]
2023-05-24 02:31:24,335 INFO 4 <---- 1 with PREPARE - [0, 3]
2023-05-24 02:31:24,350 INFO 3 <---- 0 with PRE_PREPARE [0, 3]
2023-05-24 02:31:24,354 INFO 0 <---- 1 with PREPARE - [0, 3]
2023-05-24 02:31:24,388 INFO 6 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 02:31:24,390 INFO 0 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:24,396 INFO 4 <---- 1 with PREPARE - [0, 2]
2023-05-24 02:31:24,410 INFO 6 <---- 0 with PRE_PREPARE [0, 2]
2023-05-24 02:31:24,411 INFO 0 <---- 6 with PREPARE - [0, 2]
2023-05-24 02:31:24,442 INFO 4 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:24,442 INFO 4 <---- 3 with PREPARE - [0, 2]
2023-05-24 02:31:24,458 INFO 1 <---- 5 with PREPARE - [0, 2]
2023-05-24 02:31:24,460 INFO 5 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:31:24,461 INFO 3 <---- 5 with PREPARE - [0, 0]
2023-05-24 02:31:24,462 INFO 8 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:31:24,489 INFO 1 <---- 2 with PREPARE - [0, 3]
2023-05-24 02:31:24,536 INFO 5 <---- 1 with PREPARE - [0, 3]
2023-05-24 02:31:24,538 INFO 1 <---- 6 with PREPARE - [0, 2]
2023-05-24 02:31:24,538 INFO 5 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:24,552 INFO 2 <---- 4 with PREPARE - [0, 2]
2023-05-24 02:31:24,569 INFO 4 <---- 2 with PREPARE - [0, 2]
2023-05-24 02:31:24,571 INFO 5 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:31:24,584 INFO 7 <---- 0 with PRE_PREPARE [0, 2]
2023-05-24 02:31:24,588 INFO 0 <---- 7 with PREPARE - [0, 2]
2023-05-24 02:31:24,600 INFO 1 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:24,601 INFO 3 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:24,602 INFO 5 <---- 4 with PREPARE - [0, 0]
2023-05-24 02:31:24,614 INFO 5 <---- 1 with PREPARE - [0, 2]
2023-05-24 02:31:24,616 INFO 2 <---- 5 with PREPARE - [0, 2]
2023-05-24 02:31:24,616 INFO 2 <---- 1 with PREPARE - [0, 4]
2023-05-24 02:31:24,629 INFO 6 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:31:24,662 INFO 7 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 02:31:24,667 INFO 0 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:24,676 INFO 8 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:31:24,678 INFO 4 <---- 0 with PRE_PREPARE [0, 3]
2023-05-24 02:31:24,679 INFO 1 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:31:24,680 INFO 8 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:24,681 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:31:24,681 INFO 0 <---- 1 with PREPARE - [0, 3]
2023-05-24 02:31:24,690 INFO 6 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:24,705 INFO 5 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:24,721 INFO 5 <---- 3 with PREPARE - [0, 2]
2023-05-24 02:31:24,736 INFO 2 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:31:24,750 INFO 1 <---- 7 with PREPARE - [0, 2]
2023-05-24 02:31:24,786 INFO 1 <---- 1 with PREPARE - [0, 3]
2023-05-24 02:31:24,789 INFO 6 <---- 4 with PREPARE - [0, 0]
2023-05-24 02:31:24,790 INFO 6 <---- 1 with PREPARE - [0, 2]
2023-05-24 02:31:24,791 INFO 3 <---- 2 with PREPARE - [0, 3]
2023-05-24 02:31:24,799 INFO 5 <---- 2 with PREPARE - [0, 2]
2023-05-24 02:31:24,801 INFO 3 <---- 1 with PREPARE - [0, 4]
2023-05-24 02:31:24,816 INFO 2 <---- 0 with PRE_PREPARE [0, 4]
2023-05-24 02:31:24,819 INFO 2 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:31:24,819 INFO 0 <---- 1 with PREPARE - [0, 4]
2023-05-24 02:31:24,822 INFO 1 <---- 0 with PRE_PREPARE [0, 5]
2023-05-24 02:31:24,823 INFO 0 <---- 1 with PREPARE - [0, 5]
2023-05-24 02:31:24,828 INFO 9 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:31:24,845 INFO 1 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:24,876 INFO 6 <---- 3 with PREPARE - [0, 2]
2023-05-24 02:31:24,876 INFO 3 <---- 5 with PREPARE - [0, 2]
2023-05-24 02:31:24,891 INFO 5 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:24,892 INFO 6 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:24,907 INFO 8 <---- 0 with PRE_PREPARE [0, 2]
2023-05-24 02:31:24,908 INFO 1 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:31:24,910 INFO 1 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:24,911 INFO 0 <---- 8 with PREPARE - [0, 2]
2023-05-24 02:31:24,922 INFO 4 <---- 5 with PREPARE - [0, 0]
2023-05-24 02:31:24,938 INFO 7 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:31:24,940 INFO 2 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:24,941 INFO 1 <---- 1 with PREPARE - [0, 3]
2023-05-24 02:31:24,942 INFO 2 <---- 1 with PREPARE - [0, 3]
2023-05-24 02:31:24,968 INFO 6 <---- 1 with PREPARE - [0, 3]
2023-05-24 02:31:24,984 INFO 6 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:31:24,986 INFO 9 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 02:31:24,989 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-24 02:31:25,000 INFO 3 <---- 0 with PRE_PREPARE [0, 4]
2023-05-24 02:31:25,004 INFO 0 <---- 1 with PREPARE - [0, 4]
2023-05-24 02:31:25,015 INFO 7 <---- 1 with PREPARE - [0, 1]
2023-05-24 02:31:25,032 INFO 2 <---- 6 with PREPARE - [0, 2]
2023-05-24 02:31:25,034 INFO 3 <---- 4 with PREPARE - [0, 2]
