2023-05-24 03:17:12,127 INFO | Server [0] was established !
2023-05-24 03:17:12,128 INFO | Server [0] is listening !
2023-05-24 03:17:12,128 INFO | Server [1] was established !
2023-05-24 03:17:12,129 INFO | Server [1] is listening !
2023-05-24 03:17:12,129 INFO | Server [2] was established !
2023-05-24 03:17:12,130 INFO | Server [2] is listening !
2023-05-24 03:17:12,130 INFO | Server [3] was established !
2023-05-24 03:17:12,131 INFO | Server [3] is listening !
2023-05-24 03:17:12,131 INFO | Server [4] was established !
2023-05-24 03:17:12,132 INFO | Server [4] is listening !
2023-05-24 03:17:12,132 INFO | Server [5] was established !
2023-05-24 03:17:12,133 INFO | Server [5] is listening !
2023-05-24 03:17:12,133 INFO | Server [6] was established !
2023-05-24 03:17:12,134 INFO | Server [7] was established !
2023-05-24 03:17:12,135 INFO | Server [6] is listening !
2023-05-24 03:17:12,136 INFO | Server [7] is listening !
2023-05-24 03:17:12,136 INFO | Server [8] was established !
2023-05-24 03:17:12,136 INFO | Server [8] is listening !
2023-05-24 03:17:12,137 INFO | Server [9] was established !
2023-05-24 03:17:12,137 INFO | Server [9] is listening !
2023-05-24 03:17:12,138 INFO | Server [10] was established !
2023-05-24 03:17:12,138 INFO | Server [10] is listening !
2023-05-24 03:17:12,139 INFO | Server [11] was established !
2023-05-24 03:17:12,139 INFO | Server [11] is listening !
2023-05-24 03:17:12,140 INFO | Server [12] was established !
2023-05-24 03:17:12,140 INFO | Server [12] is listening !
2023-05-24 03:17:12,141 INFO | Server [13] was established !
2023-05-24 03:17:12,141 INFO | Server [13] is listening !
2023-05-24 03:17:12,142 INFO | Server [14] was established !
2023-05-24 03:17:12,142 INFO | Server [14] is listening !
2023-05-24 03:17:12,143 INFO | Server [15] was established !
2023-05-24 03:17:12,143 INFO | Server [15] is listening !
2023-05-24 03:17:12,144 INFO | Client [0] was established !
2023-05-24 03:17:12,144 INFO | Client [0] is listening!
2023-05-24 03:17:12,200 INFO 1 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 03:17:12,201 INFO 1 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 03:17:12,203 INFO 0 <---- 1 with PREPARE - [0, 0]
2023-05-24 03:17:12,204 INFO 0 <---- 1 with PREPARE - [0, 1]
2023-05-24 03:17:12,207 INFO 1 <---- 0 with PRE_PREPARE [0, 2]
2023-05-24 03:17:12,210 INFO 0 <---- 1 with PREPARE - [0, 2]
2023-05-24 03:17:12,221 INFO 1 <---- 0 with PRE_PREPARE [0, 3]
2023-05-24 03:17:12,224 INFO 0 <---- 1 with PREPARE - [0, 3]
2023-05-24 03:17:12,233 INFO 2 <---- 1 with PREPARE - [0, 2]
2023-05-24 03:17:12,234 INFO 2 <---- 1 with PREPARE - [0, 1]
2023-05-24 03:17:12,235 INFO 2 <---- 0 with PRE_PREPARE [0, 0]
2023-05-24 03:17:12,236 INFO 2 <---- 1 with PREPARE - [0, 0]
2023-05-24 03:17:12,237 INFO 2 <---- 0 with PRE_PREPARE [0, 2]
2023-05-24 03:17:12,239 INFO 2 <---- 0 with PRE_PREPARE [0, 1]
2023-05-24 03:17:12,242 INFO 0 <---- 2 with PREPARE - [0, 0]
2023-05-24 03:17:12,243 INFO 0 <---- 1 with PREPARE - [0, 2]
2023-05-24 03:17:12,244 INFO 0 <---- 1 with PREPARE - [0, 1]
2023-05-24 03:17:12,246 INFO 1 <---- 0 with PRE_PREPARE [0, 4]
2023-05-24 03:17:12,247 INFO 2 <---- 1 with PREPARE - [0, 3]
2023-05-24 03:17:12,248 INFO 2 <---- 0 with PRE_PREPARE [0, 3]
2023-05-24 03:17:12,264 INFO 0 <---- 1 with PREPARE - [0, 4]
2023-05-24 03:17:12,273 INFO 0 <---- 1 with PREPARE - [0, 3]
